mBank S.A. Bankowoœæ Detaliczna
Skrytka Pocztowa 2108
90-959 £ódŸ 2
www.mBank.pl
mLinia: 801 300 800
+48 (42) 6 300 800

eMAKLER - Historia transakcji

#Imiê i nazwisko
Jan Kowalsky

#Nr rachunku mBM
92512345

#Nr rachunku powi¹zanego
#

#Data
26.02.2025


Kryteria wyszukiwania
#Data od
01.01.2025
#Data do
26.02.2025
#Wybrana kategoria
Brak
#Wybrany typ instrumentu
Brak
#Wybrany papier
Brak

Czas transakcji;Papier;Gie³da;K/S;Liczba;Kurs;Waluta;Prowizja;Waluta;Wartoœæ;Waluta
12.02.2025 09:00:26;SMH LN ETF;GBR-LSE;S;11;42,5450;USD;14,00;PLN;1 881,76;PLN
12.02.2025 09:00:26;SMH LN ETF;GBR-LSE;S;1;42,5450;USD;0,00;PLN;171,07;PLN
12.02.2025 09:00:12;UDVD LN ETF;GBR-LSE;K;2;74,29;USD;14,00;PLN;598,96;PLN
04.02.2025 09:00:29;VUAA LN ETF;GBR-LSE;K;4;114,12;USD;14,00;PLN;1 872,07;PLN
